,Open,High,Low,Close,Adj Close,Volume
count,6028.0,6028.0,6028.0,6028.0,6028.0,6028.0
mean,112.24315179066699,112.25109144893005,112.23613236167215,112.24344992178833,112.24344992178833,1285.7357332448573
std,0.23299986696642483,0.23234169233989024,0.23355403519303133,0.2329217529934573,0.2329217529934573,2818.207091672251
min,111.734375,111.734375,111.6875,111.71875,111.71875,0.0
25%,112.078125,112.078125,112.078125,112.078125,112.078125,34.0
50%,112.203125,112.21875,112.1953125,112.203125,112.203125,310.0
75%,112.46875,112.484375,112.453125,112.46875,112.46875,1512.0
90%,112.578125,112.578125,112.57803955078126,112.578125,112.578125,3494.3
95%,112.609375,112.625,112.609375,112.609375,112.609375,5225.949999999999
99%,112.703125,112.703125,112.6875,112.703125,112.703125,11391.319999999963
max,112.734375,112.734375,112.71875,112.734375,112.734375,68505.0
