,CL,DXY,GC,ZN
count,919.0,919.0,919.0,919.0
mean,0.0007886029422811635,0.00014049187837873034,0.0003264366336825677,-0.00020627336489953407
std,0.02362347191665931,0.00445063081273745,0.009155217701069104,0.0042852841450759386
min,-0.1306288805140844,-0.02116692811116072,-0.04608763171383434,-0.013111016103747986
25%,-0.013345451139126774,-0.002361539855974315,-0.004398330704981135,-0.002756666384789941
50%,0.002453642452856286,0.00010639244811794235,0.0004494151500220589,-0.0002338634237605275
75%,0.015097977320551847,0.0027376289690362876,0.00559604595787544,0.0022587241716046647
90%,0.027164236263074806,0.005651515437341995,0.011234697256769,0.004864257359077628
95%,0.035844340016437395,0.007500114593413413,0.015598838358650528,0.006386110935167424
99%,0.05686456077194615,0.010290987696612502,0.023074900524723024,0.010743032979662642
max,0.08354379592718453,0.016524508239780467,0.03155783252344646,0.01992305578455622
