,Open,High,Low,Close,Adj Close,Volume
count,6290.0,6290.0,6290.0,6290.0,6290.0,6290.0
mean,113.69745131039278,113.74978155794129,113.59793320793794,113.70400934022257,113.70400934022257,15698.575834658188
std,0.2451446263395774,0.257794947005298,0.2020073698713563,0.24646770118452496,0.24646770118452496,96170.1029392762
min,113.203125,113.28125,113.1875,113.21875,113.21875,0.0
25%,113.53125,113.546875,113.484375,113.53125,113.53125,72.0
50%,113.640625,113.734375,113.5625,113.65625,113.65625,534.0
75%,113.875,113.90625,113.71875,113.875,113.875,2482.75
90%,114.09375,114.125,113.875,114.09375,114.09375,7648.300000000001
95%,114.125,114.15625,113.90625,114.125,114.125,29928.749999999996
99%,114.203125,114.234375,114.125,114.203125,114.203125,351373.4499999987
max,114.265625,114.28125,114.25,114.265625,114.265625,1919726.0
